Organisation,Number of payments,Total amount
Enjays Ltd,1,9000
S Mahapatra,1,100
Steve Manthorp,13,16425
Colin Wardle,1,650
Velvet Software Ltd,4,8577.26
Aces,7,1670
Ricardo-Aea Ltd,3,239
Voicepower,5,5141.2
Apollo Lighting Ltd,1,4099
Lecume Des Mers,1,199.6
Christine Bates,3,360
Lizzie Minnis,1,300
Globeaid Ltd,1,4343
Local Registration Services Association,6,2640
Bls*prezi Inc,3,399.16
Best4frames,1,52.31
Spotify P0266667b2,1,9.99
Elaine Barrow,2,1464
Supreme Grinding Machines Ltd,6,5749.47
Geo Spence & Sons Ltd,310,12828.02
Care & Repair (Leeds) Ltd,561,4608377.24
North & West Yorkshire Asbah,2,600
Stewart Hardy,2,763.8
Rnib Services Ltd,165,151789.85
M  Mallinder,1,2500
Jmr Consultancy & Training,6,5140
Gordon Morris Ltd,1,450
Creake Plant Sales,1,18.13
Employment Law Services Ltd,1,287
Kaplan Financial,19,15304.47
Task-It,1,465
Dr D.A Wakefield,1,75.71
Incom Systems,10,7241.5
Gbpay*prom Dresses Co. lt,1,140.69
Dl Gough,5,8550
Arnold Laver Timber World,3,2168.82
Repsole Ltd,2,3290
Denisa Psenickova,1,142
Xo Gallery,1,1000
Creative Industries Development Agency,1,495
Manifest Comms,4,11717.5
Social Work Awards Ltd,1,420
One.Com,23,539.81
Chris Watkins,16,21458.11
Swalec Plc,9,1734.74
Flightcasew,1,397
Align Property,1,5
Jet2.Com Gbp Eci,1,607.9
Anchor Trust V/T,1,80
Beadsdirect,1,81.6
Paperstone Ltd,2,75.75
The Women'S Community Forum,2,9975
Gartner Group Uk Ltd,10,352558.33
Hi-Tec Drilling Ltd,1,620
Homez Building Services,7,73639.72
Riverside Court,14,22160.55
Paperchase,14,324.53
H C Slingsby Plc,20,4327.15
O Heap & Son (Derby) L,1,100
Mj Mccarthys Ltd,2465,103184.41
Wynsors,19,626.76
Harris Interiors,1,4200
The Balcony Cafe,2,9.65
Www.Lesar.Co.Uk,1,72.5
Vedf (Jersey) 18 Ltd,1,1000
Thinking Space Cic,2,2450
Www.Thedx.Co.Uk,6,1530
Eurotravellerhotel,1,198
JOHN MYERS,1,1235
Paypal *hejiasheng,1,14.87
IRRV,1,995
Dwell Student Living,1,6147.54
Finance Shared Serices,1,600
W.A Displays Ltd,1,1620
Eb *wibn Property Amp,1,50
Pinder Plant Ltd,3937,384549.949999997
Adam Lewis,1,250
Helen Jillings,23,5489.4
The Redwoods Caring Foundation,2,27729.25
Eb Culture Amp Sport,1,64.15
Cape Conference Account,2,300
Care Landscape Maintenance,22,8236.1
Sons Of Great Men,1,75
Thorntons/internet,1,31.95
Platt Halpern Solicitors,1,1285.83
Diversified Busine,1,795
Stratford Business School,1,590
Shahid Nurgat,1,300
Paypal *ventureblue,2,28.47
Aldi,112,3561.27
Moortown Social Club Over 60s Section,10,4944.75
DANCE ACTION ZONE LEEDS (DAZL),1,1260
Dyrhoff Ltd,28,2253503.85
Ruby & The Mystery Cats,1,350
Beefeater40027175,1,5.3
Hobart Manufacturi,2,1952.76
John Barrett,9,50150
Www.Equipashop.Com,1,14.52
Gervase Phinn,2,2577.5
ATKINS LTD,1,2561.53
Fairburn Healthcare  (Mews) Ltd,131,1109456.57
Kirkstall Road H W S S,29,1499.62
1ppm Education Ltd,2,3148.4
John Good Ltd,4,2725
Extreme Zorb Football Ltd,1,240
MANOR PARK NURSING HOME,3,8845.57
Smith Creative,27,46908
Paypal *rhinegold,1,18
Whitkirk Cricket Club,1,500
Jessica Burdon,32,41267.34
Leeds Teaching Hospital Nhs Trust,6,8455.33
Labcold Ltd,1,442.5
B A & B A Clayton,11,10937.96
Pan Global Plants Ltd,2,144.17
Flickr Pro 2 Years,1,37.04
Bateson Trailers Ltd,2,77
Farleys Solicitors Llp,2,28877.16
Z Richardson,1,4651.96
Eternal Lawns,26,92234
CHARTERED INSTITUTE OF HOUSING,1,565
A D D Loop Cutting Services Ltd,13,17370.74
Bryce Fastener,1,71.67
Dbh Builders,1,300
Nasser Hussain,1,250
Attainment In Education Ltd,1,32.4
ATTLEE COURT,4,4608.4
Www.Printerbase.Co.Uk,6,413.74
Ams International,6,16930.62
Net Benefit (UK),2,115.2
Safe Solutions,1,244.9
Jon Wood,2,190
Witi Promotions/Freetime G.D.,6,11922.5
Health And Care,5,365.79
Dalesway Hotel,1,140
Tesco - Maplin,1,7.49
Aspia,1,275
The Leeds Bid Ltd,16,136673.05
Aire Valley Tree Servi,5,10740
Benmor Medical (Uk) Ltd,2,225
Hollies Farm Plant Cen,1,56.67
Dusty Miller (2015) Ltd,1,25000
Autograph Promotional Gifts Ltd,10,7009.08
Azienda Trasporti Vero,1,4.85
Swillington Pharmacy,18,3314.64
Paypal *jackie,1,2.11
Metamark Uk Ltd,139,70843.02
Cas Events Ltd,1,1020
Audrey Williams,7,1500
AVON LODGE,2,8307.44
M J Garry,3,775
Neil Taylor Training Ltd,121,40889.69
Anderson Hope,1,2453
Charcoal Chicken - Lee,2,15
Prodec Networks Ltd,1,21.67
Www.Mapsupplies.Co.Uk,1,66.85
Rodley Carpets,2,528.33
Www.Simplyribbons.Com,1,8.75
The Corporate And Executive Coaching Org,3,10833.56
Ducal International Ltd,1,600
Gildersome Parochial Church Council,5,7570
Paypal *whitechoice,1,8.73
Nationwide Marquee Hire,135,279512.92
Tech News Ltd,3,25000
D Fearnley,1,750
Jordans Solicitors,93,938276.73
Galliford Try Building North East And,1,7500
Nouvelles Images,1,451.3
Claytons Residents Association,3,635
Rawright,1,710
Toni Wharton,1,465
Q Park Via Park Magic,1,16
Icnet International Ltd,2,10266.63
Saint-Gobain,1,5.2
S & S Site Services (Nationwide) Ltd,6,126295
Patricia Doherty,1,13.5
P Dolan,1,315
Investors In The Community,41,99867881.99
Mtr Ltd.,1,682.1
Da Todd,8,2017.5
Touchstone Media Ltd,1,1750
Enidlive Ltd,2,2279.05
GLEDHILLS BUILDERS LTD,3,3402.42
Www.Back2.Co.Uk,1,732.47
Srixon Sports Europe Ltd,16,5210.63
Singh Productions Ltd,1,1500
Silverfinger Singh,1,200
Temple Way Properties Ltd,1,133.33
Manor Lodge (Leeds) Ltd,8,17617.6
Hawkins Thompson Ltd,1,845
Jj Food Service Leeds,71,2865.39
Paypal *mindsetjb,1,180
Jill Searson,1,402.5
Slater And Gordon Solicitors,1,360
Wilsons (Crossgates) Ltd,374,16580.88
Leeds Mind,192,5025392.15
Robin Gupta Consultants Ltd,1,3400
Saica Natur Uk Ltd,21,24343.01
Neuff Athletic Equipme,1,516.32
Kafevend Group Ltd,15,5006.75
HEATMISER UK LTD,1,740
Progress Care Housing Association Ltd,18,14952.23
St Philips Pcc,24,585
Demco Europe,25,6552.4
Adam Law Solicitors,2,3082
Miriam Patella,1,500
Discount Home Dome,1,720
Roxy Lanes,1,37.5
Caring Together,1,600
Ludos Italian,3,293.95
Bracken Hill Fine Foods,7,3498.8
Kate Mckinlay,15,9670
Total Legal Ltd,1,927
City News,36,4624.19
Cilex,10,5650
Jj Food Services Ltd,811,71382.0000000001
Kingsley Moor Serv,1,7.97
Ilca,2,92.64
Better Equipped,1,465.53
Job Ladder Ltd,1,300
Clayton Hotel Leeds,5,603.25
Sandwell Metropoliton Borough Council,3,34203
Jerome Wilks,1,120
Leeds Frontrunners,1,1500
Ward Hadaway Solicitors,104,157715.39
Lcc Restorations,2,72205.05
Point North,1,3076
Loomis Uk Ltd,83,71247.98
Cengage Learning Services,2,10155
Lexisnexis Butterworths,83,237150.94
Sunshine Community Nursery,16,201504.23
BYLAND ENGINEERING,3,6837.5
Ivyline,4,4659.13
Grapple Wrestling Ltd,1,2120
Gibson Garden Machiner,10,31057.15
Cpi Inc,2,475.5
Rullion It Plus Ltd,3329,6762843.78000003
Smith Electric Vehicles,2,66721.84
Chapeltown Cougars Junior League Rugby,2,745
Boundary Mills Store N,1,108.23
Laura J Davies,15,26510
Www.Sheriffsoffice.Com,1,67.85
CLOSE HOUSE,2,2390.16
Chamberlain Music,1,3511.68
Www.Mysmallworld.Co.Uk,1,66.54
Park Lodge,25,346574.18
Edwin Woodhouse & Co Ltd,4,494.69
Saeed Siddik,1,650
Headingley Hall Nursing Home,220,1463105.87
Naomi Williams,16,10264.45
Www.Torchdirect.Co.Uk,2,294.79
Ebookers.Com,5,6509.85
GAS DATA LTD,1,625.4
Lesley A Pattenson,1,25.08
NATIONAL EXTENSION COLLEGE,1,640
The Griffin Inn,1,170
Arrow Film Distributors Ltd,8,3339.06
SOCIAL BUSINESS CONSULTING,1,4757.3
Corporate Office Furniture Ltd,2,1426.5
The Crest Residential Home,3,3387.75
Kirk Deighton Cricket Club,1,500
Nova Wakefield District Ltd,6,76933.26
PRM LTD,9,23722.11
Heathcotes Leeds And Morley,42,2186354.12
Helen Russell Brown,2,700
Alternative Drainage Company Ltd,11,13843
Viscount Pollington'S 1964 Settlement,20,2850
Abtec4abrasives,1,144
Www.Ashwoodgifts.Com,1,673.6
Trustees Wetherby Town Hall,2,80
Wylam Brewery,6,7528.7
Eb *ma Code Of Ethics-,1,16.67
Psd Ltd,19,30250
Pudsey & Bramley Athletic Club,1,20000
Connect Up Support Services Ltd Ultimate,8,21455.95
SITEIMPROVE LTD,2,11136.41
Www.Grahambrown.Com,1,43.75
Eva Ropka,26,24765.79
Howarth Timber & Building Supplies,9,1713.23
Mrs Bhupinder Kaur Uppal,2,20661.89
Charles Watson (Iron),2,219.97
Westwood Playgroup,1,500
Martin S Ramsden,6,12787.06
Sinbad - Broaster Food,2,187.27
Www.Coram.Org.Uk,12,908.83
Santander Asset Finance Plc,6,25436.45
Capital Floors Ltd,1,12085.57
Ashan Malik,1,1750
P H  Cars,1,800
Pw Hire,7,5935
Learning And Work Institute,1,99
Ptsg Access And Safety Ltd,3,768
Reading Explorers Ltd,1,120
Eclipse Smart Solutions Ltd,1,4590
Foxholes Animal Hotel Ltd,1,164.5
The Plasticine Men,1,798.96
Citu Developments Llp,1,560
SOMERVILLE ARTISTS MANAGEMENT,1,600
Street Games Uk,2,600
Office Gold Ltd,1,7000
Lovell Partnerships Ltd,306,5890034.6
West Yorkshire Federation Of Womens,1,264
University Of Hospital Of Leicester,1,138.77
Darlac Ltd,3,301.45
Fairway Golf And Print,4,2020
Alison Jacques Ltd,1,1920
Great Gizmos Ltd,15,6427.7
Three-Billpay(Cc),3,51.67
Independent Psychiatric Reports Ltd,15,18621.87
Nationwide Jcc Leeds,52,51207.73
PRINCIPAL RESOURCING LTD,11,21166.5
Life Links Ltd,97,576232.009999999
Hunslet Mehodist Church,2,90
John Scheerer & Sons Ltd In Liquidation,2,1138
School Merit Stickers,2,710.55
Travelex@tesco,1,600.6
Derbyshire County Council,6,31932.7
Absoluteproduct.Co,11,1563.99
The Cardigan Centre,347,1146120.18
Salt'S Catering Ltd,2,1806.7
Thebusinessdesk Ltd,7,27250
Personnel Hygiene Services,2,1107.5
Mill Lane Lift Services Ltd,101,211125
Bp Moortown S/stn,17,534.78
Simon Stevenson,3,2200
X Channel Marketing Ltd,7,6919.77
PROKARE LTD,2,8365.44
Walsden Village Store  Market Delivered,2,2755
Astha Ltd,15,24519.6
Falcon Electrical Whol,18,3209.51
Ibis Brussels Off Gra,2,5596.4
43034765 Costa Coffee,1,8.1
Ipeople Services Ltd,18,27030
Harvester Llantris,2,29.32
Www.Samuelfrench-,6,1285.45
H Sharpe,29,18070
Shadwell Scout Group,1,500
D Robinson,14,1156
Great & Little Preston Luncheon Club,5,11284.25
SCANTEC PERSONNEL LTD,6,23171.3
Aire Ensemble,1,342
Advitam Ltd,126,2048453.49
Medway Council,4,13689
Media Markt Bruxelles,1,12.53
Uk Payments,5,156
Holyart,1,49.04
OPEN UNIVERSITY,5,6305
Leedshandyman,2,118.75
Kidsunlimited@Tadpoles,69,354665.41
Paypal *qinghguo201,1,233.25
Social Adventures,1,285
Ramada Encore Newcastle G,4,245.84
Scratching Shed Publishing Ltd,1,478.8
Langley House Trust Longcroft,2,29130.04
Scl,6,6745
Kate Pankhurst,12,4050
Eb Phoebe Caldwell Bu,1,80
G S Toilet Hire,3,3250
Www.Copshopuk.Com,1,24.39
Bell Lax Solicitors,3,7965.5
Restorative Thinking Ltd,13,43409.75
Leeds Metropolitan Foster Care,4,3425
Eb *yorkshire And Humb,1,12
Yorkshire & Humber (Local Authorities),2,20092
Paypal *ropesourcel,1,115.93
Wilkinson Plc,1,1001
Cash  Mental Health Unit,13,5200
Www.Cestriansigns.Co.,1,156.96
Lumsden Stuart Ltd,1,1052.31
West Yorkshire Windows,2,367
Consult Solutions Ltd,1,4950
Henry Maude,1,35
Low Moor Medical Practice,6,427.27
Casa One 2014 Ltd,5,34455
M A Hutchinson,2,180
Nspcc Registered Charity,16,35401.09
Northern Assessors Ltd,124,9101.7
I F Cardboard Crea,1,1461.08
Little Rascals Private Day Nursery,305,1882987.15
Zira Hussain,12,7802.63
Obm Buffet,1,46.6
Handle-It Ltd,2,2786.86
Leonard Cheshire,203,2832839.26
Basil Houldsworth & Son Ltd,1,462
Www.Whitegoods.Co.Uk,1,38.91
Mountain Warehouse,1,29.99
Lindley Catering Ltd,2,915.07
Blackhorse Property,2,1050
Igg Creative,1,142
KINDERCARE HARROGATE LTD,3,14192.57
Whitehouse Farm Allotments Association,2,850
Cabcard Services (,1,19.95
GRANBY LODGE,2,5117.44
Www.Hpplotter.Co.Uk,1,35.51
Cityred Properties,1,200
Creative Communities Leeds,1,200
Www.Justoffbase.Co.Uk,1,21.33
AQUATRUST WATER & VENTILATION LTD,7,6470.44
youth hostel assoc,1,851.06
Natalie Reid,4,420
Lsx Ltd,2,5000
Kgc Media Ltd,3,415
Edris Building & Electrical Contractor,1,3000
Mrs Marcia Lennon,1,98.64
Rubber Engineering Services,3,5510
Paypal *decartssoc,5,149.17
The Feel Good Cafe,11,308.52
Secure Fire System,5,1520
Nichola Blackburn,1,13
Www.Littledevilsdirect,1,245.79
Thorpe Community Centre,6,1400
Look Both Ways,1,1000
Hull Savile St,1,2.75
Manpower Direct (Uk) Ltd,23,85171.84
Screwfix Leeds Seacroft,11,1038.65
Walkers Are Welcome (Otley),14,1085.5
Cloth Cat Studios Ltd,28,54394.03
Bluemoose Books Ltd,1,200
Parentpay.Com,11,175.41
The Cotton Patch Ltd,2,20.53
James Joinery Solutions Ltd,1,1175.95
Gills Doorstep Solutions Ltd,48,8729.24
Stradbrokes Solicitors,2,6417.5
Monkswood Community Group,1,250
Handmade Burger Co Sou,1,15
C & E Bloom (Holdings) Ltd,1,709.59
White Paper Conference,4,661
SIMON READ,1,750
Andrew Brooks,9,5125
Hampshire County Counc,3,30
Lloyds British Testing Plc,4,2695
Positive Eye Ltd,5,772.71
T O M  Vehicle Rental Ltd,64,21206.86
Express By Holiday Inn Leeds,1,1473.12
Caring For Life,29,325172.92
Pdr Construction Ltd,29,1716557.52
Indeed Ireland Operations Ltd,2,1819.62
Linen 4 Less Ltd,1,87.69
Forum Events 2 Ltd,4,15800
The Bikes College Cic,2,1045
Pudsey Swimming Club,3,6454
Wateredge Hotel,1,52.75
Paypal *ecommerceb,1,55.1
Www.Promotional-Soluti,1,52.25
Stearn Electric Compant Ltd,78,16387.07
Company Searches,3,2230
Natco Sw Ltd,3,1982.01
Taste Cuisine Ltd,350,140000.9
Adm Security,15,2326.5
Bridge Electrical Supp,1,23.63
Kreative Bunting Ltd,2,995.5
Leeds City Credit Union - Welfare Fund,18,155500
Stonebridge Projects Ltd,2,298
1st Thorner Guides,1,500
Andrew Crosby,1,120
Professiona,1,112.21
Living Hope Church,2,2390
INFO TECHNOLOGY SUPPLY LTD,1,1025.21
Enterprise Rent A Car Uk Ltd,1,2278.2
ADMAS LTD,2,1130
Iwantschak & Partners,53,130799.42
Ranjit Panesar.,1,600
Murodigital,3,250.22
Nassea,5,285
Sk Connor Ltd,4,30000
Jadwiga Widdop,4,359.5
FOSTERING NETWORK,3,2668.88
Phs Group Plc,599,396129.79
Cafe Blanco,1,5.5
Khalid Hasan,3,898.2
Northern Radiators Ltd,81,3290
Bodyflight Ltd,2,1100
Paypal *ineqegroupl,1,52.07
Colliers International Prop Consultants,2,3138.64
Julia Harrow,1,1900.05
Parkfield Court,2,500
Intercity Accommodation Bacs 2,5,3401.9
Everon Uk Ltd,103,107535.05
Pp*aitkensspor,7,2097.59
Image Data Group Ltd,28,80358
Julie Carr,14,2800
Hollingworth & Moss Ltd,44,25578.73
Wesley Zepherin,1,200
Wwwrlssorguk,40,1454.93
The Performance Coach,2,8746
Eurowings Av104xfyvnq_146,1,104.99
Cardinal Heenan High School Pfi,39,1562821.31
TMC ENGINEERING ENTERTAINMENT,2,63179.45
Nationwide Crash Repair Centres Ltd,15,16709.82
Environment Analyst Ltd,4,1018
Barcham Trees Plc,2,14769.2
Teapot Tea Or Coffee Ltd,1,100
HILLSIDE FURNITURE CENTRE LTD,1,499.5
ST JOHN AMBULANCE,4,3627
Karl Waterson,1,13
Www.Rselectricalsuppli,2,50.27
Mobys Table,1,13.8
Styledecs,24,13095
Keycraft,72,53441.66
La Coccinelle Day Nurseries - Armley,4,12169.47
Crossley News Ltd,58,10821.57
Windowfilms,1,10.83
Thornbridge Brewery,4,6170.85
Heather Williams,1,85
Romar Construction Ltd,3,71860.52
ST JUDES SVP FURNITURE STORE,1,19871
Adriana Wrzol,14,13738.02
Groundsure Ltd,2,1695.48
The Valuation Office Agency,163,310692.12
Www.Indigodisplays.Co.,2,2115
Sunningdale Residential Home,50,136152.08
Evans Dangerous Goods Training,25,60327
J M Whitehead,1,191.67
Aberford Village Hall,6,2300
Leeds Brigshaw,9,28.68
Klipspringer,5,461
Abacus Playgrounds Ltd,1,2210
"Amazon Svcs Europe,sar",60,1982.86
Spa Surgery,4,6831.01
Bramhope Royal British Legion,2,778.4
Maplin Leeds J1 Ls1,53,1849.08
Leeds Comedy Festival Ltd,2,8971.17
Advanced Communication Solutions Ltd,1,1052.2
Owen Clements,1,350
BDO STOY HAYWARD LLP,1,750
THE SPINNEY,4,36911.54
Bpl Metrodome,2,8.8
A & L Sunter Ltd,1,80.49
Bag Supplies Ltd,1,643
Nagels (Uk) Ltd,54,48413.61
Ebonium Ltd,1,19.98
Chaplins,1,738
Chris Davison Associates Ltd,2,14200
D & D Childcareltd,54,453710.2
Shakespeare Medical Centre,30,16815.61
Vicars Court,1,425
Ukba3273429206,1,184
F Jia,4,128.5
Live Nation (Music) Uk Ltd,1,635.14
Full Control Networks Dis,1,1734
WEST END THEATRE MANAGERS LTD,1,456
Carol Hanson,3,625.97
Rock School,14,9498.71
South Seacroft Friends & Neighbours,52,395616.33
PAPER HYGIENE SERVICES,29,22049.23
Dvsa Olcs Portal 3,6,900
Calverley Lunch Club,2,3892
Serco Ncs Network,1,10
Balbir Singh Dance Company,3,18034.24
Ad Delhaize Anspach,1,9.62
Mr V Thomas,1,500
S J Aston,4,510
Sweet Saeeda,1,165
Turning Lives Around (Tla),18,722000.72
Bradford Leisure Hotels,9,2830
Ratcliffe Ltd,1,150
Rodley Rockets Arlfc,2,600
Hayloft Foods,8,950.4
Wharfedale Handwork And Finishing,1,482.8
Leeds Church Institute,2,225
Greenage Utilities Ltd,11,3515
S Dobinson,1,1162
Www.Edofe.Org,8,2023.1
Active8,2,181.25
Professional Conferences Ltd,1,420
Hookhitch Theatre,2,373.86
LIFT ABLE LTD,1,8421
Pro-Ven,2,149.58
Bt Deposit Pay 1,1,50
Sarah Jane Mason,13,13612.64
Eb *freshers Fairs Cha,2,54.28
Gentworks,1,1024
Emma Peakman,2,1300
Tatjana Rafiq,40,9555.81
The Ear Trust,4,180
Warren Park Nursing Home,49,49949.04
Askews & Holts,175,515223.56
Djukebox,1,1900
C W C Uk,6,40406.08
Www.Topman.Com,1,149
Heartland Interiors Ltd,1,1141.25
Polichinelo Circus,2,2800
Robin Balbernie,1,739.4
Uk Portfolios,1,495
WAKEFIELD METROPOLITAN BRASS BAND,1,600
Shulmans Solicitors,16,2047421.2
G W Tyres (Wakefield),5,1232
Eb *learning Pool Live,1,180
Www.Ocarina.Co.Uk,2,85.8
Tactile Paving Services Ltd,2,634.5
VODAFONE CORPORATE LTD,2,1889.51
Lucy Casson,1,950
Bar Hire Solutions,13,25276
Liberty Home Support Service,208,123236.58
Cogs Ltd,5,13720
Fmg Legal,4,5184
Chris Sandham Transport,3,1100
Www.Firesafety.Uk.,1,23.8
Somervillescan Ltd,3,1318.96
stationery office book,2,1603.75
Imperial War Museum Trading Company Ltd,1,2735.45
House Of Fraser,3,49.99
Dng Production & Event Crew Ltd,1,2234
Marge Ainsley,2,3500
Laura Jarvis,5,3060
Www.Edecks.Co.Uk,1,54.97
St Benedicts Catholic Primary School Pta,1,300
Carla Moss,3,1130
Daisy Chain Childcare Pre-School,4,27755.79
Thanh Sutton,6,347.72
Verifone,24,15943.38
Steve Carrick,3,404.72
Sarah Ellahi,1,23574
South Leeds Community Radio,11,23230
Grove Hill Park Action Group,1,2000
The Casey Group,6,571795.96
Health Books Uk,2,152
M Razban,1,20.16
Royal National Institute For The Deaf,1,4671.88
Hammicks Legal Booksho,1,475
Swiis Uk Ltd,141,26139.6
LIFESTYLES,2,3556.16
Bromley & Croyden Womens Aid,24,5578.4
Newcott Fish & Chips,1,9.04
Www.Sound-Dynamics.Co.,1,159.99
Shade & Style Window Blinds,1,478.4
Paypal *marysadi30,1,2.99
Synergize Ltd,3,77230.25
Albert Palmer,1,600
University Of Arts London,1,7125
Asia Superstore,1,72
Freeth Cartwright Llp,4,21372.13
Wetherby Riverside Bandstand Trust,5,4250
Stuart Hirst Ltd,1,595
W Wilkinson Ltd,31,2154.5
Hol Inn Birm City,1,66.67
Ds Marine Contracting Ltd,70,285676.49
The Institute Of G,1,107.95
David J Evans,4,1100
The Head Partnership Solicitors Llp,1,77000
Sunnybank Medical Centre,1,97
Audiogo Ltd,165,115324.71
Proximo Legal Services,13,17474.62
Ecotronictoys.Com,1,900.69
Bessertrim Ltd,1,106.42
Moss - 010,1,50
Cable & Wireless Uk,56,204321.6
Www.Millmoll.Co.Uk,2,632.37
Derby City Council - Karen Jewell,1,53.88
Uk Property Rentals Ltd,2,2850
The Translation People,1,94
Cassini Properties,8,4906
PITNEY BOWES FINANCE PLC,1,750
KC Business Health Ltd,4,3743.16
Louise Good,22,36679.75
Tes Subscriptions,1,24.5
Brookvale (For The Mentally,94,370089.57
Matt Hutchings,1,2000
Vale Services Ltd,1,2206
Enerco Doors And Loading Bay Solutions,9,6602.05
Grayson Homecare Ltd,96,36631.27
Tribal Resourcing Ltd,1,1000
Methods Business & Digital Technology,16,75148.08
Xtralistraining.Co,2,684
Greggs Lawnswood,1,4.25
BEACON COMMUNICATION TECHNOLOGY (NORTH),17,27976.1
Payatrader,15,2854.89
Pcs*lawson Hardwick Li,1,77.76
Martin Repecky,28,12435.78
Tesco - Elc,1,17.99
The National Leaflet Company,1,1447.2
Get Licensed,2,257.96
Constantine,18,78863
Giller And South,2,7500
Vicky Sutton,22,15093.6
S C P Ltd,15,16177.81
Shakespeare Martineau Llp,2,17932.67
ZEST HEALTH FOR LIFE,2,6150
Dropbox*hr8xvlwlzcsd,1,57.6
Guy Batley,1,4150
My Mhealth Ltd,1,750
Equity Partnership,1,250
Worldbeaters Music,3,5800
Arca,2,1240
With Box Ltd,1,963.87
Paypal *dazzle Jewe,1,39.18
W2 Products Ltd,3,1490.8
Adcs,29,35307.5
Wilkies,2741,643100.13
Quantil Ltd,10,14138.25
Mohammed Luheshi,2,1060
Dr N A Nayyar,505,93374.7400000001
Webex Communications Uk Ltd,2,519.42
Moortown Primary Pta,1,75
Independent Thinking Ltd,5,8700.1
Stanningley Sports And Amateur,2,600
Anthea Hendry,3,2340
Orchard Out Of School Club,1,876
Churwell Out Of School Group,22,50435.75
West Yorkshire Property Rentals,1,500
Ibis Leeds Centre,4,2133
Lesley Stavridis,1,1841.8
The Childrens Place Ltd,2,450
Amalthea Greek Deli Ltd,1,21
St Agnes Church Hall Group,4,1052
J D Walker,1,350
Rds North Eastern Ltd,1,520
Mostyn Music (Retail),1,418.58
HORTON HOUSING ASSOCIATION,2,5107.44
The General Council Of The Bar,1,1417.67
O2 UK Pay & Go,2,18.33
Green Man Learning,1,310.5
Reach Marketing Communications Ltd,1,714
Easy Hire T/A D&R Cars,10,13886.44
Fabrite Engineering Ltd,14,2303784
Noberne Doors,2,14615.92
Aesthetic Studio Ltd,3,525
Paul Atkinson,3,1600
Atp,1,220
Matt Burman,12,39999.96
Cheltenham & Gloucester Plc,1,2250
ANN M MORTIMER,3,3002.88
Www.Dictation4u.Co.Uk,1,4.4
Workplatform Ltd,2,2988
Leeds11.Com,4,521
Vincent Dance Theatre,1,950
Haven Power Ltd,211,7554.64
Doncaster Culture,11,1490.59
Www.Naval-Military-Pre,1,35.85
Paul & Patra Heaton,1,550
Www.Bakerdays.Com,2,70.8
Gamlins Solicitors Llp,1,85000
Rachel Dean,1,450
Roco Truck Bodies Ltd,21,12063
Andy Sykes,2,1200
Leeds Letz - Client Account,1,984
Pat Frankish Psychology & Psychotherpy,4,2352.38
First Class Tailored Solutions,6,2596
Animation Toolkit,3,315.94
Malcolm Le Grice,1,58.3
Jla Ltd,8,6800.35
Lynn Lawson,10,1759.75
Selfridges.Com,1,625
Gn Hotel,7,870.24
Young Programme Events Ltd,4,6550
A Holdsworth,1,770.73
Skills For Care,2,4869.37
Salisbury Nhs Foundation Trust,16,2543
Clare Maher,2,1211.04
John Campbell,5,14334.1
Out Of Bounds Media,1,440
West Yorkshire Playhou,11,1054.79
Pat Field,1,1200
Leeds Parish Church,6,41125
Associated Security So,1,21.95
Jeremy Freedman,1,2000
T.E. Webshops,1,478.13
Moorgate Forklifts Ltd,36,11611.35
Daniel Coleman,1,700
POLLARD BEST ELECTRICAL SERVICES LTD,1,750.52
West House,22,27922
Iz *senbon Sakura,1,16.04
Rowtech Professional Security Ltd,5,3157.84
Pebbles Nursery,83,598720.04
London Borough Of Camden,1,896.98
The Brimington Surgery,1,75.71
Site Rescue,117,152822.28
Ibm Parts Np,1,982
Department For Communities And Local,4,4544530
R N I B Tate House,16,30357.82
Throckley Primary Care,1,75.71
Pcc Rothwell,1,40
Royal Armouries (International) Plc,27,138923.22
St James' Church Farnley,1,500
Connect Up Electrical  Ltd Ultimate,4,8760.56
Alec Tiranti Ltd,1,258.66
Yes Waste Ltd,1,675
L Rippon,8,6628.66
Www.Utilita.Co.Uk,20,403.6
KENSITE SERVICES LTD,72,65824
Rooms Lane Allotment Association,1,150
Holmewell Road Hwrc,2,124.69
HOLLYBANK TRUST,2,8014.32
Stephanie Sartin,56,4500
David Johnson,1,210
Jones Myers Solicitors,15,14570.6
Paypal *yelsel1953,1,20.64
Rooster Sailing Ltd,1,78.33
Greek Orthodox Community Of Leeds Church,1,5000
Leeds Tai Chi Academy,4,450
Pure 360,1,2788
Franchesca Rodger,1,400
Sustainable Communities For Leeds Ltd,64,60778350.59
First Steps Day Nursery,5,5042.7
Havering London Borough,2,27000
Tri-Flooring,3,1527.06
Stephen Knafler,3,4620
Kexgill Bradford Ltd,5,7575
Thos Dawes & Son,18,3220.71
2e2 Uk Limited In Administration,4,65775
Mr S A Wilcox,13,4780
East Parade Surgery,1,75.71
Boots 6499,21,312.79
Accountant General Of The Senior Courts,88,403660.08
The Javelin Group Ltd,2,10750
Wattbike Ltd,3,148.75
70th Leeds Rainbows,1,100
Child And Family Training,7,15781.3
N Powell,48,17500.31
What Could I Be Ltd,1,8488
MOLIFT LTD,1,2640
Amcs Uk Ltd,5,6227.49
Paypal *rdavy,1,2.64
People Matters (Leeds) Ltd,254,1306328.05
Taylor Davenport Resourcing Ltd,14,22190.25
www.ourweigh.co.uk,1,589.64
